1,13,1.8200000,1,0,1,12,12,0,1 
1,18,3.2900000,3,7,1,12,12,0,1 
1,18,3.2100000,5,9,1,12,12,0,1 
1,18,3.0600000,6,10,1,12,12,0,1 
2,15,2.1400000,4,6,1.5000000,12,12,0,1 
2,15,2.3000000,5,7,1.5000000,12,12,0,1 
2,15,2.4000000,6,8,1.5000000,12,12,0,1 
2,15,2.4600000,7,9,1.5000000,12,12,0,1 
2,15,2.5100000,8,10,1.5000000,12,12,0,1 
2,15,2.5000000,9,11,1.5000000,12,12,0,1 
2,15,2.5500000,10,12,1.5000000,12,12,0,1 
2,15,2.5600000,11,13,1.5000000,12,12,0,1 
2,15,2.6000000,12,14,1.5000000,12,12,0,1 
3,10,1.5600000,1,2,-.3600000,12,12,1,1 
4,12,1.8500000,1,3,.2600000,12,10,1,4 
4,12,2.1400000,2,4,.2600000,12,10,1,4 
4,12,1.8100000,3,5,.2600000,12,10,1,4 
4,12,1.1500000,4,6,.2600000,12,10,1,4 
4,13,1.9300000,4,7,.2600000,12,10,1,4 
4,13,2.0800000,5,8,.2600000,12,10,1,4 
4,13,2.1300000,6,9,.2600000,12,10,1,4 
4,13,2.4800000,7,10,.2600000,12,10,1,4 
4,13,2.9800000,8,11,.2600000,12,10,1,4 
4,13,2.2500000,9,12,.2600000,12,10,1,4 
4,13,2.2700000,10,13,.2600000,12,10,1,4 
4,13,2.1200000,11,14,.2600000,12,10,1,4 
5,15,2.4100000,2,3,.3000000,12,12,1,1 
5,15,2.5000000,4,5,.3000000,12,12,1,1 
5,15,2.5600000,5,6,.3000000,12,12,1,1 
6,15,1.8300000,2,2,.4400000,12,16,0,2 
6,15,2.0100000,3,3,.4400000,12,16,0,2 
6,15,1.9100000,4,4,.4400000,12,16,0,2 
6,15,2.0800000,5,5,.4400000,12,16,0,2 
6,15,2.2200000,6,6,.4400000,12,16,0,2 
6,15,2.3700000,7,7,.4400000,12,16,0,2 
6,15,2.3200000,9,9,.4400000,12,16,0,2 
6,15,2.4500000,10,10,.4400000,12,16,0,2 
6,15,2.6900000,11,11,.4400000,12,16,0,2 
6,15,2.8000000,12,12,.4400000,12,16,0,2 
6,15,2.5900000,13,13,.4400000,12,16,0,2 
6,15,2.7000000,14,14,.4400000,12,16,0,2 
7,15,1.7800000,3,8,.9100000,12,12,0,1 
